userName,score,at,content
kenzo januzay,5,2026-06-11 06:16:35,gak pake potonv adm
Kuceng Keleson,5,2026-06-11 06:11:58,mantap min..... untuk transaksi amannn...
TOGE 96,1,2026-06-11 06:07:29,sudah 1tahun masih aja di BLOKIR akun GoPay. terbaik emang GoPay !
Alifian Satria,5,2026-06-11 05:59:33,sangat bagus untuk kebutuhan
muhammad Lutfi Arbain,4,2026-06-11 05:58:35,aplikasinya bagusbanget gais
Ahmad Muslih,5,2026-06-11 05:52:52,mantep simpel
Puji Puji sejahtera ketaten,5,2026-06-11 05:51:00,mantap
Rina Indriani,5,2026-06-11 05:49:12,ok
Alif Laroyba,5,2026-06-11 05:49:03,luar biasa
Asnan Purba,5,2026-06-11 05:49:01,keren
Zaki Ganteng,1,2026-06-11 05:48:20,gejelas admin slow respon mengadu buat cari solusi dicuekin
Veronika popy Popy,5,2026-06-11 05:45:26,nyaman di pakai buat transaksi loh
Muhammad Safei,5,2026-06-11 05:43:18,aplikasi yg sangat membantu
Tegex cusbylasaloyeg,5,2026-06-11 05:38:58,toparkotop laaahh
Hendra Afyudin,5,2026-06-11 05:36:31,"saya semakin suka dengan aplikasi ini, makin lancar dan sepertinya para ahli di aplikasi ini terus memperbaiki kekurangan.. semoga sekalian lancar berjaya selalu"
Arief Susanti,5,2026-06-11 05:36:00,sangat membantu
udin 45,5,2026-06-11 05:28:54,alhamdulillah di acc pinjaman buat berobat adik
Parta Guna,5,2026-06-11 05:27:42,Tingkatkan
Erman Rohman,4,2026-06-11 05:23:30,mantap
Boim Petir,5,2026-06-11 05:18:09,mantab
SIDIK FAMILIAR,5,2026-06-11 05:15:05,mantul pokok nya
Jha Mi,2,2026-06-11 05:12:28,"layanan di pinjam pembayaran selalu aman , pengajuan kembali malah tidak di acc"
Billeam Pernama,5,2026-06-11 05:11:23,ini menjadi salah satu apk transaksi online yang sangat cepat aman dan gak ribet best banget deh kalo top up game juga promonya gak main main. best lah ni gopay 👏👍
Makruf Harahap,5,2026-06-11 05:10:54,baik
Abdal Sukur,1,2026-06-11 05:08:42,"aplikasi gopay ini,mudan di bobol orang yg tdk dikenal/aplikasi PENIPU. SALDO SYA BISA HILANG. SYA TDK PERNAH MENGIKUTI PEMBAYARAN TIKTOK LIVE. ADMIN YA REPON LAMBAT"
Rianto naura sakina,1,2026-06-11 05:03:10,"foto selfie gak bisa, katanya pakai topeng. fisik jelek emang sulit, ribet"
Muhammad Rovfii,5,2026-06-11 05:03:04,bagus
JifiexFreefire 1902,5,2026-06-11 04:54:11,bagus
Erni Djuri,5,2026-06-11 04:53:18,proses transfernya berjalan dengan lancar.
Zendra Johan saputra,5,2026-06-11 04:48:14,terpercaya
Mustafa Cobra,5,2026-06-11 04:48:07,ewalet yg sangat bguss dan mantap menurut saya dari ewalet2 lainnyaa. gogi gopay
Dance Daniel,5,2026-06-11 04:39:51,terbaik!!
Sidik Fauzi,4,2026-06-11 04:37:44,nice
sultonmkmn,5,2026-06-11 04:37:14,bagus😁😁😁
Ismi Ismi,5,2026-06-11 04:35:47,bagus
ahmadallfi 14,5,2026-06-11 04:35:26,mantap
Rizki Tf,5,2026-06-11 04:34:42,Bagus
Agung Setiawan,5,2026-06-11 04:31:01,mantap
Kevin Fajrian,5,2026-06-11 04:26:20,aplikasi ini aman banget
Teh Ira,5,2026-06-11 04:24:57,👍👍👍👍
Iksan Putera,5,2026-06-11 04:22:50,mantap
Riya Riya,5,2026-06-11 04:21:02,bgus
Rizal Pratama,5,2026-06-11 04:19:32,ok
Somay Balap,2,2026-06-11 04:18:45,bagus
ariska putri,4,2026-06-11 04:17:49,bagus kenapa gak dari dulu aku punya
Rahman Aja,5,2026-06-11 04:14:13,wowwww
Dew Dew,1,2026-06-11 04:10:49,aplikasi yg tidak bertanggungjawab atas hilangnya saldo seseorang
Eka Khyla,5,2026-06-11 04:10:01,very good
Udin Saepudin,5,2026-06-11 04:09:28,gopay mantappp okee bagusss
khair ilham,5,2026-06-11 04:06:05,bisa buat top up dan isi data da sebagai nya
Alan Alan,5,2026-06-11 04:02:02,"praktis, transaksi cepat"
Iwan1806 Iwan,5,2026-06-11 04:01:13,top 1 wallet yg sangat mantap
Avid 17,5,2026-06-11 03:58:16,good
ZADAZZ M1887,5,2026-06-11 03:58:09,aplikasi ini sangat bagus
rasya GRACiO,5,2026-06-11 03:54:02,sangat cocok bagi pemula
Norlince Betty,5,2026-06-11 03:53:34,semoga aplikasi ini memudahkan saya sebagai penggunanya
Faj996 Mml,5,2026-06-11 03:51:37,jjinm
Sugito Sugi,5,2026-06-11 03:51:30,mantap lah
evan krisna,5,2026-06-11 03:49:25,selalu menggunakan tp tidak dpat hadiah
Ulum Pawenang520,5,2026-06-11 03:45:36,sangat membantu dalam segi pembayaran online
Ramdan Saputra,5,2026-06-11 03:42:16,mantap
Boyek Macaniin,5,2026-06-11 03:38:10,ok
Etna Wati,5,2026-06-11 03:37:08,keren
zofia 97,5,2026-06-11 03:32:49,I love it
Ardi Bae,5,2026-06-11 03:32:04,good
Abie Abyan,4,2026-06-11 03:31:29,bagus
"Dini Dini Frismawati, SE, MM",5,2026-06-11 03:30:21,ok
Jaya Alumunium,5,2026-06-11 03:22:43,gopayyyyyy loppp youuuu
Pakerikasli,5,2026-06-11 03:14:43,Meskipun perdana namun layanan sangat prima
Muhammad Alfi Syahril,1,2026-06-11 03:10:06,"GOKIL ASLI Baru kli ini dibikin ribet sma ni aplikasi, duit gue nyangkut diproses padahal gue ada kebutuhan, dan adminnye suruh nunggu 2 hari, asli bener"" kecewa banget gue"
Lukman Sardi,5,2026-06-11 03:09:50,sangat baik
Miki Mardela,5,2026-06-11 03:07:00,gooddd bangett penggunaan aplikasinya
Dara Atimah,5,2026-06-11 03:01:48,bagus sekali
fanda tanu,5,2026-06-11 03:01:05,bagus
Remasut Al-Baghdadi,5,2026-06-11 02:58:54,"cepat, mudah gak ribet"
ikok widaningsih,5,2026-06-11 02:57:17,"alhamdulilah nyaman pakenya gampang cairkan nya mau tranfer apa qiuris, mempermudahbuat kami emak emak👍"
Anak Medan,5,2026-06-11 02:56:53,mending aplikasi ini dari pada dana biar support Indonesia Ayo kurangi belanja di shopee pakai Tokopedia karena Indonesia punya. Tokopedia didirikan oleh William Tanuwijaya dan Leontinus Alpha Edison pada 6 Februari 2009. #Sellsingapure
Mas farel Clirot,5,2026-06-11 02:56:46,enak bagus
Ara Ara Ra,5,2026-06-11 02:56:03,mantap
Rita Ade,5,2026-06-11 02:53:21,sangat bagus dan mudah pake aplikasi GoPay
Tenggo Saskia,5,2026-06-11 02:52:49,terbaik
_aqfa21,5,2026-06-11 02:52:42,aplikasi nya sangat baik untuk kita semua
Qurrota A'yun,5,2026-06-11 02:51:38,😘
Andy Gunawan,4,2026-06-11 02:51:31,Alhamdulillah mantapp
Santo Juna,5,2026-06-11 02:49:36,sangat bagus dan oke Poko y
